wexp_low,wexp_upp,eff_low,eff_mean,eff_upp
0,0.2,0,0,0
0.2,0.4,-42.0212765957447,18.6170212765958,54.2553191489362
0.4,0.6,-77.1276595744681,22.3404255319149,72.872340425532
0.6,0.8,-511.678895877009,86.1702127659575,105.31914893617
0.8,1,66.4893617021277,81.9148936170213,90.4255319148937
