age_low,age_high,n,seropos_mean,seropos_low,seropos_high
1,2,36,30.6,16.2264150943396,47.5471698113207
3,4,56,51.8,37.3584905660377,64.5283018867924
5,6,70,64.3,50.9433962264151,74.3396226415094
7,8,92,81.5,71.3207547169811,87.9245283018868
9,10,60,88.3,76.6037735849056,93.9622641509434
